id,name,provider,amount_display,amount_min,amount_max,deadline,category,field_of_study,eligible_stage,citizenship,minority_group,school_specific,nomination_required,nomination_notes,candidate_a_fit,candidate_b_fit,notes,url,last_verified
S014,Goldwater Scholarship,Barry Goldwater Scholarship Foundation,"$7,500/year",7500,7500,"~January annually (institutional nomination required, see note)",Major / Field-Specific (Neuroscience/STEM),Cognitive & Behavioral Neuroscience; STEM Research,"College sophomore or junior (not freshman) intending a research PhD in natural sciences, math, engineering, or behavioral/cognitive neuroscience",U.S. Citizen; U.S. National; U.S. Permanent Resident,,,True,"Requires official institutional nomination — but from the COLLEGE (Brown's Goldwater faculty representative), not the high school. Brown nominates a limited number of students annually.",Future opportunity — not eligible as a first-year; becomes eligible in sophomore/junior year. Excellent long-term match for her Cognitive Neuroscience research trajectory at Brown. She should connect with Brown's Fellowships Office early.,Not applicable — for currently-enrolled U.S. college sophomores/juniors.,The premier U.S. undergraduate award for future research scientists; flagged here for A's freshman-year planning even though not currently actionable.,https://goldwaterscholarship.gov/,2026-07-19
S015,"SMART Scholarship (Science, Mathematics & Research for Transformation)",U.S. Department of Defense,"Full tuition/fees + $28,000-$46,000 annual stipend + guaranteed DoD employment",25000,46000,~December 1 annually,Major / Field-Specific (Neuroscience/STEM),Cognitive Science; Neuroscience-adjacent STEM,"Rising sophomore, junior, senior, or graduate student in an eligible STEM major, incl. Cognitive Science",U.S. Citizen (required),,,False,,"Future opportunity — typically requires declared major and rising-sophomore standing; worth tracking once she declares Cognitive Neuroscience. Involves a post-grad DoD work commitment, an important trade-off to weigh.",Not applicable — U.S. college STEM majors only.,"Very large award, but comes with a mandatory multi-year DoD service obligation after graduation.",https://www.smartscholarship.org/,2026-07-19
S016,Brown University Need-Based Financial Aid (Institutional Grant),Brown University Office of Financial Aid,"Meets 100% of demonstrated financial need (no-loan policy); total cost of attendance is ~$92,400 (billed) to ~$102,000 (full COA) for 2025-26, and aid varies by family finances",5000,102000,CSS Profile/FAFSA typically due with admission application; incoming students should confirm with Financial Aid office,School-Specific (Brown),Any / Undeclared,"All enrolled undergraduates, including first-years",U.S. Citizen; Permanent Resident; international (Brown is need-blind/need-aware by citizenship category — verify current policy),,Brown University,False,,"Directly applicable now — Brown's primary funding source; important to note it is need-based, not merit-based, and requires the family's financial documentation.",Not applicable — she is not enrolled at Brown.,Brown has no institutional merit scholarships; all 'Brown-specific' funding beyond this is via named endowed funds administered case-by-case through the Financial Aid office.,https://finaid.brown.edu/aid-types/grants-scholarships,2026-07-19
S017,Cameron Impact Scholarship,Bryan Cameron Education Foundation,"Full 4-year tuition, fees, and books (est. $20,000-$80,000+ total, school-dependent)",20000,80000,"Two windows historically — an early ~May deadline and a regular ~September deadline (Class-year specific), or when the ~3,000-application cap is hit, whichever comes first",General / Merit,Any / Undeclared,"High school senior, minimum 3.7 unweighted GPA",U.S. Citizen,,,True,REQUIRES official nomination by the student's high school (counselor or school official submits the nomination before the student can apply).,"Not applicable — for incoming high school seniors, not already-enrolled students.","Future opportunity — she should tell her high school counselor now (start of 11th grade) that she wants to be nominated when senior applications open, since the school controls the nomination step.",One of the most generous full-tuition awards; the school-nomination requirement is the single biggest logistical hurdle — start the conversation with the counselor early.,https://www.cameronimpactscholarship.org/,2026-07-19
S018,Jefferson Scholars Program (University of Virginia),Jefferson Scholars Foundation,Full cost of attendance at UVA (4 years),20000,90000,Counselor nominations due ~Dec 1 annually,General / Merit; School-Specific (other),Any / Undeclared,High school senior,U.S. Citizen or Permanent Resident (international track available separately),,University of Virginia (not Brown),True,REQUIRES high school counselor nomination — one of the clearest national examples of a nomination-gated award.,"Not applicable — tied to UVA, not Brown, and restricted to incoming seniors.","Only relevant if she later adds UVA to her college list; included here as a landscape example of a nomination-required program, since the family asked to see these clearly.",Included primarily to illustrate the 'school must nominate' category requested — swap for a Brown-track equivalent if she considers UVA.,https://www.jeffersonscholars.org/overview-jefferson-and-walentas-scholarships,2026-07-19
S019,UNCF Scholarship Portal (Corporate & General Scholars Programs),United Negro College Fund (UNCF),"Varies by specific award; several corporate-sponsored awards $5,000-$27,500",5000,27500,Varies by individual award — portal opens applications ~spring/summer annually,Minority / Heritage; Major / Field-Specific (Business/Finance varies),"Business; Finance; STEM; Any, depending on award","High school senior or current undergraduate, depending on specific award",U.S. Citizen or Permanent Resident (most awards),Black / African American / African descent (Nigerian-heritage students qualify),,False,,Partial — only the subset of UNCF awards NOT restricted to HBCU/member schools would apply to a Brown student; filter carefully on the portal by 'any accredited institution.',Future opportunity — same caveat applies once she is a college applicant/enrollee.,UNCF is the largest minority scholarship clearinghouse in the U.S.; treat this row as a portal entry point rather than a single award.,https://opportunities.uncf.org/s/pre-login-welcome-page,2026-07-19
S020,National Association of Black Accountants (NABA) National Scholarship,NABA Inc.,"$1,000-$10,000 (average ~150 awards/year)",1000,10000,Varies — typically opens winter/spring annually,Minority / Heritage; Major / Field-Specific (Business/Finance),Accounting; Finance; Business,Currently-enrolled 2-year or 4-year college student (NOT open to high schoolers),Open to Black/African-descent students; U.S. enrollment required,Black / African American / African descent (Nigerian-heritage students qualify),,False,,Not applicable — accounting/finance focus doesn't match Cognitive Neuroscience.,"Future opportunity — once enrolled in a U.S. college studying finance/business; NABA also runs a pre-college 'Accounting & Finance Pipeline' program worth exploring now (not a scholarship, but a pipeline into one).",Strong long-term option once B is in college; not currently actionable for either candidate.,https://nabainc.org/scholarships/,2026-07-19
S021,IABA Foundation Scholarship (International Association of Black Actuaries),IABA Foundation,"$1,500-$5,000",1500,5000,Varies annually — check portal,Minority / Heritage; Major / Field-Specific (Finance),Actuarial Science; Finance; Math/Statistics,"Undergraduate or graduate student, min 3.0 GPA",Open to Black students; U.S. enrollment typically required,Black / African descent (Nigerian-heritage students qualify),,False,,Not applicable — actuarial/finance focus does not match Cognitive Neuroscience.,"Future opportunity once enrolled in college, if she pursues quantitative finance/actuarial coursework.","Only the top of the range clears the $5,000 floor.",https://www.iaba.org/foundation/scholarships/,2026-07-19
S022,Sutton Trust US Programme (with Fulbright Commission),The Sutton Trust / US-UK Fulbright Commission,"Full mentoring + typically secures substantial need-based financial aid (average reported ~£138,500/$234,000 total over 4 years)",5000,90000,~Spring annually (opens for Year 12 students),General / Merit; International / UK-Specific,"Any / Undeclared, incl. Business/Psychology/Finance-track applicants",Year 12 (UK) / 11th grade student at a UK STATE-FUNDED school,Open to UK-resident students; separate from U.S. citizenship status,,,False,"Selected through a competitive application, not a nomination, but requires the school to confirm state-funded/FSM status.","Not applicable — UK-based program for UK students, and A is already enrolled in the U.S.","Directly eligible now as a Year 12 (11th grade) UK student — the single most relevant 'currently actionable' program on this list for her, IF her school is state-funded and she meets the income criteria. If she attends a fee-paying/independent UK school, she will not qualify — verify immediately.",Not a scholarship itself but a mentoring pipeline that leads directly to large need-based aid packages at top U.S. universities (Fulbright Commission-run).,https://us.suttontrust.com/,2026-07-19
S023,Benjamin A. Gilman International Scholarship,U.S. Department of State,"Up to $5,000 (plus Critical Need Language Award up to $8,000 additional)",5000,8000,~October and March annually (two cycles),Major / Field-Specific (Study Abroad),Any / Undeclared,"Currently-enrolled U.S. undergraduate, Pell-Grant eligible, planning study/internship abroad",U.S. Citizen,,,False,,Future opportunity — relevant only if A pursues a study-abroad term later in her Brown career and is Pell-eligible.,Not applicable.,Included for completeness on the 'study abroad' funding angle; not immediately actionable for either candidate.,https://gilmanscholarship.org/,2026-07-19
S024,Foot Locker Scholar Athletes Program,Foot Locker Foundation,"$20,000 (paid $5,000/year over 4 years)",20000,20000,~January annually (opens prior fall),General / Merit,Any / Undeclared,"High school senior, competitive athlete",U.S. Citizen or Permanent Resident,,,False,,Not applicable unless she is a competitive varsity athlete — flagged for completeness only.,Not applicable unless she is a competitive varsity athlete — flagged for completeness only.,"Included to show the athletics angle exists in the database, even though neither profile currently indicates varsity athletics.",https://www.footlockerfoundation.org/scholar-athletes,2026-07-19
S025,Point Foundation Flagship Scholarship,Point Foundation,"Varies, up to full need + mentorship, historically $5,000-$40,000/year",5000,40000,~January annually,Minority / Heritage,Any / Undeclared,High school senior or current undergraduate,U.S. Citizen or Permanent Resident,LGBTQ+ identifying students,,False,,Not applicable based on the profile shared.,Not applicable based on the profile shared.,Shown only to illustrate the breadth of the minority-scholarship landscape captured in this tool; remove if not needed.,https://pointfoundation.org/scholarships/flagship,2026-07-19
S026,Psi Chi / Society for Neuroscience Undergraduate Research Awards,Psi Chi (International Honor Society in Psychology) / Society for Neuroscience,"Up to $6,000 (research grant, not tuition scholarship)",5000,6000,"Varies by award, generally ~spring/fall annually",Major / Field-Specific (Neuroscience/Psychology),Psychology; Neuroscience; Cognitive Science,"Currently-enrolled undergraduate conducting original research, typically sophomore+","Open internationally, some awards U.S.-restricted — verify per award",,,False,,"Future opportunity — not available freshman year, but directly relevant once A begins Cognitive Neuroscience research at Brown (typically sophomore year+). Worth bookmarking now.",Not applicable — enrolled-undergraduate research award.,"A research grant rather than a tuition scholarship, but real cash funding tied exactly to A's intended major.",https://www.psichi.org/page/ugradresearchaward,2026-07-19
S027,Regeneron Science Talent Search (STS),Society for Science / Regeneron,"$25,000-$250,000 (top prize); all 40 finalists receive at least $25,000",25000,250000,~Mid-November annually,Major / Field-Specific (Neuroscience/STEM),"Any STEM research, incl. Neuroscience",High school senior with an independent research project,"Open to U.S. and international students attending U.S.-recognized high schools, and select international schools",,,False,,Not applicable this cycle — this is a pre-matriculation senior-year competition; A has already been admitted to Brown.,Future opportunity if she pivots toward research-heavy STEM (currently profiled as business/psychology/finance) — flagged for completeness given the neuroscience-adjacent research angle in the family.,The single largest-value pre-college research award in the U.S.; requires a completed original research project.,https://www.societyforscience.org/regeneron-sts/,2026-07-19
S028,U.S. Bank Student Scholarship,U.S. Bank,"Multiple awards; top awards up to $20,000, most-modules-completed track pays $5,000",5000,20000,~February-March annually,General / Merit,Any / Undeclared,High school senior (17+) or current undergraduate,U.S. resident,,,False,,"Directly eligible now — open to enrolled undergraduates, not just incoming seniors; low-effort application (complete financial literacy modules).",Not applicable — U.S. residency required.,One of the few general awards genuinely open to an already-enrolled college freshman like Candidate A.,https://www.usbank.com/student-banking/student-scholarship.html,2026-07-19
S029,Common Knowledge Scholarship Foundation Award,Common Knowledge Scholarship Foundation,"$5,000",5000,5000,Varies annually — check current cycle,General / Merit,Any / Undeclared,"High school senior or current undergraduate, depending on cycle",U.S. Citizen or Permanent Resident,,,False,,Possible fit — verify current-cycle eligibility for enrolled freshmen vs. incoming seniors only.,Future opportunity — verify current-cycle rules senior year.,Smaller/lesser-known foundation; always double check the live eligibility page as these details shift.,https://commonknowledgescholarship.org/,2026-07-19
S030,Elks National Foundation Legacy Award,Elks National Foundation,"$4,000-$12,500 total over 4 years (varies by rank)",4000,12500,~Early February annually,General / Merit,Any / Undeclared,"High school senior, child/grandchild of an active Elks member",U.S. Citizen,,,False,,Not applicable unless a family member is an Elks Lodge member.,Not applicable unless a family member is an Elks Lodge member.,Included for completeness; likely a non-match unless there is an existing Elks family connection.,https://www.elks.org/scholars/scholarships/legacy.cfm,2026-07-19
S031,Dr. Soronnadi Nnaji Legacy Scholarship,Nnaji Family / Bold.org,"$5,000",5000,5000,~June annually (recent cycles closed early-mid June — confirm on Bold.org),Minority / Heritage; Major / Field-Specific (STEM),"Any STEM major, incl. Cognitive Neuroscience",High school senior OR current 2-year/4-year undergraduate — no class-year restriction,Open regardless of citizenship status; first- or second-generation African immigrant,First- or second-generation African immigrant (directly matches Nigerian origin),,False,,"Directly eligible now — one of the strongest matches on this list: Nigerian/African immigrant background, STEM major, and open to current undergraduates (not seniors-only). Apply this cycle.",Future opportunity once enrolled in college as an undergraduate (not open to pre-college students).,"Named for Dr. Soronnadi Nnaji, established by his daughters in his honor; strongly prefers African student-association involvement — worth joining Brown's African Students Association.",https://bold.org/scholarships/dr-soronnadi-nnaji-legacy-scholarship/,2026-07-19
S032,UNCF / Merck Undergraduate Science Research Scholarship,United Negro College Fund (UNCF) with Merck,"Up to $25,000/year",5000,25000,"Typically opens November, closes mid-January — confirm on UNCF portal each cycle",Minority / Heritage; Major / Field-Specific (STEM),"Biology; Chemistry; Engineering; and related sciences, incl. Neuroscience",Currently-enrolled underrepresented-minority undergraduate in STEM,U.S. Citizen or Permanent Resident,Underrepresented minority (Black/African-descent students qualify),,False,,"Strong potential match — verify Brown is on the current list of eligible institutions before applying; if so, this is a top-tier fit (minority + STEM + open to enrolled undergrads).",Not applicable — for currently-enrolled undergraduates only.,Highly competitive (~15 awarded nationally per year).,https://uncf.org/scholarships,2026-07-19
S033,Carson Scholars Fund,Carson Scholars Fund,"$1,000 (below the $5,000 floor — included because it's genuinely actionable right now)",1000,1000,Nominations typically due ~March 15 annually,General / Merit,Any / Undeclared,Grades 4-11 — directly open to her THIS year as an 11th grader,Must attend an accredited K-12 school in the United States,,,True,REQUIRES nomination by an educator at her school; only one student per school per year can be nominated.,"Not applicable — grades 4-11 only, she has already graduated high school.","Potentially actionable THIS YEAR (11th grade) if her school qualifies as a U.S.-accredited K-12 school — worth asking her school directly given the UK-residency question. Good low-stakes practice with the nomination process even though below the $5,000 floor.","Below the requested $5,000 minimum; included because it is one of the only nomination-based awards she is grade-eligible for immediately.",https://carsonscholars.org/,2026-07-19
S034,United States Senate Youth Program,The Hearst Foundations / U.S. Senate,"$10,000 undergraduate scholarship + fully-funded Washington Week program",10000,10000,"Varies by state, typically applications open ~mid-August and close ~September-October",General / Merit,Any / Undeclared — encourages history/political science/business-adjacent interests,High school junior or senior holding an elected/appointed student-leadership role,U.S. Citizen or Permanent Resident,,,True,REQUIRES nomination by the high school principal; a principal may nominate up to 2 students from the same school.,"Not applicable — for currently-enrolled high school juniors/seniors, not college students.",Directly eligible now IF she holds (or can attain) a student-leadership role and her school can participate in a U.S. state's nomination pipeline — worth raising with her school counselor this fall given the UK-residency complication.,"One of the few high-value ($10,000+) awards genuinely open to juniors right now, contingent on the school's ability to nominate through a U.S. state.",https://ussenateyouth.org/,2026-07-19
S035,Jackie Robinson Foundation Scholarship,Jackie Robinson Foundation,"Up to $35,000 over four years + four-year mentoring program",5000,35000,~January 7 annually,General / Merit; Minority / Heritage,Any / Undeclared,High school senior,U.S. Citizen,Open to all backgrounds; strong track record of supporting Black/African-descent scholars,,False,,"Not applicable — for incoming high school seniors, not enrolled college students.",Future opportunity — apply fall/winter of 12th grade if financial need applies.,Comes with a strong four-year mentoring and career-placement program beyond the cash award.,https://jackierobinson.org/apply/,2026-07-19
S036,Posse Foundation Scholarship,The Posse Foundation,Full-tuition scholarship to a Posse partner college (value varies by school; excludes room/board),20000,90000,Nominations open spring/summer of junior year; interviews run through senior fall,General / Merit,Any / Undeclared,Nominated as early as second semester of 11th grade,Not restricted to a specific minority group; open broadly,,,True,REQUIRES nomination by a Posse-partner high school or community organization — self-nomination is not accepted.,"Not applicable — nomination process happens in high school, before college enrollment.","Timing lines up now (nominations start spring of 11th grade), but the U.S.-city partner-school requirement is a real obstacle given her UK residence — worth investigating whether a Posse-affiliated program accepts international/UK-based nominees.",Highly competitive (roughly 1 in 24 nominees selected in recent cycles).,https://www.possefoundation.org/recruiting-students/the-nomination-process,2026-07-19
S037,NSHSS + DECA Scholarship,National Society of High School Scholars (NSHSS) with DECA,"Historically ~$2,000-$5,000 — confirm current-cycle amount",2000,5000,Varies by cycle — check NSHSS scholarship calendar,Major / Field-Specific (Business/Finance),Marketing; Finance; Hospitality; Business,"High school junior or senior, NSHSS member AND active DECA member",Open to U.S. and international students,,,True,NSHSS membership requires an educator nomination; stack this with an active DECA membership.,Not applicable — business/finance focus doesn't match Cognitive Neuroscience.,"Directly relevant now — ask a teacher to submit her NSHSS educator nomination this year, and confirm whether her school has (or can start) a DECA chapter.","Open internationally, unlike several U.S.-only nomination programs on this list — worth prioritizing given her UK location.",https://www.nshss.org/scholarships/s/nshss-plus-deca-scholarship-2026/,2026-07-19
S038,NSHSS Membership & Scholarship Network,National Society of High School Scholars (NSHSS),"Individual member scholarships range roughly $1,000-$10,000 depending on award",1000,10000,Rolling — individual scholarships open/close throughout the year,General / Merit; International / UK-Specific,"Business; Finance; Any, depending on the specific award","High-achieving high school student, 3.5+ GPA or equivalent test scores",Open internationally — students in 170+ countries,,,True,"Membership itself is nomination-based (an educator nominates the student); once a member, she applies directly to individual scholarships.","Not applicable — NSHSS targets high school students, not enrolled college undergraduates.","Directly actionable now — genuinely open internationally (a rarity among nomination programs), so this is one of the highest-priority 'ask a teacher to nominate me' actions for her this year.",Functions as a gateway (membership) into a wide internal scholarship pool rather than a single award — treat the NSHSS row as an entry point.,https://www.nshss.org/scholarships/,2026-07-19
